obligacion,valor pago,fecha,cod
1023456789,68524572,1/10/2020,recaudo
1023456790,52951102,2/10/2020,recaudo
1023456791,47785328,3/10/2020,recaudo
1023456792,60152410,4/10/2020,recaudo
1023456793,75182472,5/10/2020,recaudo
1023456794,87060720,6/10/2020,recaudo
1023456795,67736220,7/10/2020,recaudo
1023456796,12183215,8/10/2020,recaudo
1023456797,55092711,9/10/2020,recaudo
1023456798,78403758,10/10/2020,recaudo
1023456799,6070752,11/10/2020,recaudo
1023456800,84042423,12/10/2020,recaudo
1023456801,71555577,13/10/2020,recaudo
1023456802,92501360,14/10/2020,recaudo
1023456803,93116701,15/10/2020,recaudo
1023456804,12320099,16/10/2020,recaudo
1023456819,18897466,17/10/2020,recaudo
1023456820,55687233,18/10/2020,recaudo
1023456821,16308727,19/10/2020,recaudo
1023456822,44758939,20/10/2020,recaudo
1023456823,12674258,21/10/2020,recaudo
1023456824,99838800,22/10/2020,recaudo
1023456825,84136334,1/10/2020,recaudo
1023456826,63280056,2/10/2020,recaudo
1023456827,9672636,3/10/2020,recaudo
1023456828,86960995,4/10/2020,recaudo
1023456829,41213299,5/10/2020,recaudo
1023456830,60890259,6/10/2020,recaudo
1023456831,13286866,7/10/2020,recaudo
1023456832,1556207,8/10/2020,recaudo
1023456833,53364621,9/10/2020,recaudo
1023456834,21772210,10/10/2020,recaudo
1023456835,25527564,11/10/2020,recaudo
1023456836,70383839,12/10/2020,recaudo
1023456837,96577629,13/10/2020,recaudo
1023456838,21070276,14/10/2020,recaudo
1023456840,76325335,15/10/2020,recaudo
1023456841,58038652,16/10/2020,recaudo
1023456842,25333404,17/10/2020,recaudo
1023456843,19143086,18/10/2020,recaudo
1023456844,32630474,19/10/2020,recaudo
1023456845,86469084,20/10/2020,recaudo
1023456846,61545956,21/10/2020,recaudo
1023456847,38734749,22/10/2020,recaudo
1023456848,39517850,1/10/2020,recaudo
1023456849,66534979,2/10/2020,recaudo
1023456850,48067827,3/10/2020,recaudo
1023456851,61736578,4/10/2020,recaudo
1023456852,16509263,5/10/2020,recaudo
1023456853,63241766,6/10/2020,recaudo
1023456854,2368830,7/10/2020,recaudo
1023456855,40270540,8/10/2020,recaudo
1023456856,37553657,9/10/2020,recaudo
1023456857,34782643,10/10/2020,recaudo
1023456858,99088711,11/10/2020,recaudo
1023456859,84312428,12/10/2020,recaudo
1023456860,75524215,13/10/2020,recaudo
1023456861,37176787,14/10/2020,recaudo
1023456862,59082178,15/10/2020,recaudo
1023456863,96150174,16/10/2020,recaudo
1023456864,515561,17/10/2020,recaudo
1023456865,57469558,18/10/2020,recaudo
1023456866,97036188,19/10/2020,recaudo
1023456867,55719672,20/10/2020,recaudo
1023456868,64037674,21/10/2020,recaudo
1023456869,95588852,22/10/2020,recaudo
1023456870,45915701,1/10/2020,recaudo
1023456871,22641790,2/10/2020,recaudo
1023456872,53231151,3/10/2020,recaudo
1023456873,9383274,4/10/2020,recaudo
1023456874,76508734,5/10/2020,recaudo
1023456875,91105897,6/10/2020,recaudo
1023456876,52191929,7/10/2020,recaudo
1023456877,65152290,8/10/2020,recaudo
1023456878,5534963,9/10/2020,recaudo
1023456879,16739621,10/10/2020,recaudo
1023456880,82741354,11/10/2020,recaudo
1023456881,84925775,12/10/2020,recaudo
1023456882,80530355,13/10/2020,recaudo
1023456883,85291818,14/10/2020,recaudo
1023456884,26835899,15/10/2020,recaudo
1023456885,67595307,16/10/2020,recaudo
1023456886,19079110,17/10/2020,recaudo
1023456887,28497602,18/10/2020,recaudo
1023456888,14008116,19/10/2020,recaudo
1023456889,21889513,20/10/2020,recaudo
1023456890,20863265,21/10/2020,recaudo
1023456891,40932802,22/10/2020,recaudo
1023456892,89520916,23/10/2020,recaudo
1023456893,75480833,24/10/2020,recaudo
1023456894,57497221,25/10/2020,recaudo
1023456895,7846644,26/10/2020,recaudo
1023456896,28872930,27/10/2020,recaudo
1023456897,81969366,28/10/2020,recaudo
1023456898,89970154,29/10/2020,recaudo
1023456899,75215947,1/10/2020,recaudo
